Title ,Period ,Creator ,Work Type,Repository,Url,Measurements,Provenance,Miscellenous,Latitude ,Longitude
Early Warring States Dec. Bronze Tripod Dui,499 BCE - 400 BCE,"Anonymous, Chinese",Decorative Arts,"Colby College Museum of Art, The Colville Collection of Early Chinese Art, The Lunder Collection",https://library.artstor.org/asset/ACOLBYIG_10313204581 ,5 1/8 in. x 6 7/16 in. x 6 7/16 in.,,,44.5650,-69.6607
Early Warring States Dec. Bronze Tripod Dui,499 BCE - 400 BCE,"Anonymous, Chinese",Decorative Arts,"Colby College Museum of Art, The Colville Collection of Early Chinese Art, The Lunder Collection",https://library.artstor.org/asset/ACOLBYIG_10313204584 ,6 in. x 8 1/2 in. x 6 1/2 in.,,,44.5650,-69.6607
He' Ritual Wine Vessel in the Form of a Standing Duck,probably 5th century BCE,,vessel,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29354740 ,H. 20.5 x W. 17 x L. 30.8 cm (8 1/16 x 6 11/16 x 12 1/8 in.),Anonymous gift,,42.374090,-71.114358
Covered Spherical Food Vessel (Dui) with Geometric Decor,late 5th century BCE,,vessel,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29352260 ,H. 27.5 x W. 28.3 x D. 20.5 cm (10 13/16 x 11 1/8 x 8 1/16 in.),Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Small 'Pou' Jar with Openwork Decoration of Interlaced Dragons and with Two Serpentine Handles,5th-4th century BCE,,vessel,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29354714 ,H. 9.7 x W. 12.4 x Diam 9.9 cm (3 13/16 x 4 7/8 x 3 7/8 in.),Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Small 'Pou' Jar with Openwork Decoration of Interlaced Dragons and with Two Serpentine Handles,5th-4th century BCE,,,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29354714 ,H. 9.7 x W. 12.4 x Diam 9.9 cm (3 13/16 x 4 7/8 x 3 7/8 in.),Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Ritual Bell (Bo zhong) with Stylized Dragon and Snake Decor and with Handle in the Form of Addorsed Birds,475 - 221 BCE,,Ceremonial Objects,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29352320 ,H. 51.2 x W. 36.8 x D. 31.1 cm (20 3/16 x 14 1/2 x 12 1/4 in.) Weight 66 lb.,Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Ritual Tripod Vessel (Ding),4th - 3rd century BCE,,Utilitarian Objects,Philadelphia Museum of Art,https://library.artstor.org/asset/AWSS35953_35953_41352320 ,7 1/2 × 8 11/16 inches (19 × 22 cm),"Gift of Charles H. Ludington from the George Crofts Collection, 1925",,39.9655697,-75.1809661
Bell (bo zhong),late 5th century B.C.,Chinese,Ceremonial Objects,Princeton University Art Museum,https://library.artstor.org/asset/APRINCETONIG_10313685151 ,h. to top of hanger: 25.8 cm. h. to head: 19.2 cm. rim: 17 x 12.6 cm. ,,,40.347476,-74.658108
Sword-bearer lamp,4th-2nd century B.C.,,Metal-Objects,Princeton University Art Museum,https://library.artstor.org/asset/APRINCETONIG_10313684958 ,"h. 33.8 cm., w. 13.5 cm., diam. dish 13.0 cm. (13 5/16 x 5 5/16 x 5 1/8 in.)h. to top of head approximately: 28.5 cm. (11 1/4 in.)",,,40.347476,-74.658108
