Title ,Period ,Creator ,Work Type,Repository,Url,Measurements,Provenance,Miscellenous,Latitude ,Longitude
Mirror with satyr or Pan head,late 4th century B.C.,,Object,The Metropolitan Museum of Art,https://library.artstor.org/asset/MMA_IAP_10310749262 ,diameter 6 3/4 in. (17.1 cm) H. of handle 2 1/8 in. (5.4 cm) H. of Head 5 7/16in. (13.8cm),,,40.779434,-73.963402
Oinochoe from Philip's Tomb: female head (Medusa?),late 4th C. B.C.,,Vessel,Vergina (Greece),https://library.artstor.org/asset/ARTSTOR_103_41822001374956 ,,,,40.4876578,22.3158996
Nanny Goat,late 2nd Century BC.,,Sculpture,The Cleveland Museum of Art,https://library.artstor.org/asset/AMICO_CL_103804011 ,Overall: 30.5cm x 31.1cm,"Leonard C. Hanna, Jr. Fund",,41.505331312,-81.606997572
Eros as Victorious Athlete,late 2nd C. B.C.,,Sculpture,Musée national du Bardo (Tunisia),https://library.artstor.org/asset/ARTSTOR_103_41822000152544,,,,36.8094,10.1342
Statue of a Victorious Youth,c.320-310 B.C.,, Sculpture,J. Paul Getty Museum,https://library.artstor.org/asset/ARTSTOR_103_41822000167237,,,bronze with copper inlays,34.0780,-118.4741
"Head of a goddess, perhaps Aphrodite or Artemis",about 270 B.C.,, Sculpture,"Museum of Fine Arts, Boston",https://library.artstor.org/asset/AMICO_BOSTON_103841030 ,Height: 25.5 cm (10 1/16 in.),Catharine Page Perkins Fund,,42.3394,-71.0940
Statue of Eros sleeping,3rd-2nd century B.C.,, Sculpture,The Metropolitan Museum of Art,https://library.artstor.org/asset/AMICO_METRO_103826472 ,L. 33 9/16 in. (85.24 cm),,,40.779434,-73.963402
Venus,332-30 BC,,statuettes,The Walters Art Museum,https://library.artstor.org/asset/AWALTERSIG_10312546461 ,10 3/4 in. (27.3 cm),"Acquired by Henry Walters, 1912, 54.952, Dikran Kelekian, New York and Paris [date and mode of acquisition unknown]; Henry Walters, Baltimore, 1912, by purchase; Walters Art Museum, 1931, by bequest",,39.2964,-76.6165
A Mirror Handle In Silvered Bronze,323 BC-32 BC,,Mirrors,Cleveland Museum of Art,https://library.artstor.org/asset/AWSS35953_35953_43759526 ,,"Purchased by William Randolph Hearst from Joseph Brummer, New York City, March 17, 1926 for $2600; sold to Brummer Galleries, December 16, 1940. Sold to Cleveland Museum of Art in May 1947",,41.505331312,-81.606997572
Wrestlers,2nd-1st century BC,,statuary groups,The Walters Art Museum,https://library.artstor.org/asset/AWALTERSIG_10312545513,H: 6 x W: 2 15/16 x D: 3 3/16 in. (15.2 x 7.4 x 8.,"Acquired by Henry Walters, 1931, 54.742, Joseph Brummer, New York [date and mode of acquisition unknown]; Henry Walters, Baltimore, 1931, by purchase; Walters Art Museum, 1931, by bequest",,39.2964,-76.6165
"Hellenistic Bronze Statuette of a Roe Deer, Full View",2nd century B.C.,, Sculpture,The Detroit Institute of Arts,https://library.artstor.org/asset/AMICO_DETROIT_1039543898 ,9.21 cm x 9.53 cm,"Founders Society Purchase, Sarah Bacon Hill Fund",,42.3595105,-83.0645258624998
Portable altar of Jupiter Heliopolitanus,2nd cent. BCE.,,ceremonial object,Musée du Louvre,https://library.artstor.org/asset/LESSING_ART_10313454458,38.4 cm (height),,,48.860294,2.338629
Portable altar of Jupiter Heliopolitanus,2nd cent. BCE,,ceremonial object, Musée du Louvre,https://library.artstor.org/asset/LESSING_ART_10313454458,38.4 cm (height),,,48.860294,2.338629
Portrait Bust of Ptolemy II (?),283-246 B.C.,, Sculpture (head),Museo nazionale di Napoli,https://library.artstor.org/asset/ARTSTOR_103_41822003252440,,,,40.8536,14.2505
Head of Poseidon / Antigonos Doson,227-221 B.C.,, Sculpture,"The Museum of Fine Arts, Houston",https://library.artstor.org/asset/AMHOUSTONIG_10313878059,11 3/8 x 7 3/4 x 9 1/2 in.,Gift of Isabel B. and Wallace S. Wilson,,29.7256,-95.3905
Statuette of Poseidon (?) (fighting divinity).,150-140 B.C.,, Sculpture,Musée du Louvre,https://library.artstor.org/asset/ARTSTOR_103_41822000170489 ,h.25cm,,,48.860294,2.338629
Statue of Seated Boxer,100-50 B.C. ,"Apollonios, Son of Nestor, 160-30 B.C.", Sculpture,Museo nazionale romano,https://library.artstor.org/asset/ARTSTOR_103_41822003252671 ,H. 128 cm,,,41.9020,12.4732
Dancing Satyr,100 B.C.,, Sculpture,Pompeii,https://library.artstor.org/asset/ARTSTOR_103_41822000122729,,,,40.7462,14.4989
