Title ,Period ,Creator ,Work Type,Repository,Url,Measurements,Provenance,Miscellenous,Latitude ,Longitude
Mirror with satyr or Pan head,late 4th century B.C.,,Object,The Metropolitan Museum of Art,https://library.artstor.org/asset/MMA_IAP_10310749262 ,diameter 6 3/4 in. (17.1 cm) H. of handle 2 1/8 in. (5.4 cm) H. of Head 5 7/16in. (13.8cm),,,40.779434,-73.963402
Oinochoe from Philip's Tomb: female head (Medusa?),late 4th C. B.C.,,Vessel,Vergina (Greece),https://library.artstor.org/asset/ARTSTOR_103_41822001374956 ,,,,40.4876578,22.3158996
Nanny Goat,late 2nd Century BC.,,Sculpture,The Cleveland Museum of Art,https://library.artstor.org/asset/AMICO_CL_103804011 ,Overall: 30.5cm x 31.1cm,"Leonard C. Hanna, Jr. Fund",,41.505331312,-81.606997572
Eros as Victorious Athlete,late 2nd C. B.C.,,Sculpture,Musée national du Bardo (Tunisia),https://library.artstor.org/asset/ARTSTOR_103_41822000152544,,,,36.8094,10.1342
Statue of a Victorious Youth,c.320-310 B.C.,, Sculpture,J. Paul Getty Museum,https://library.artstor.org/asset/ARTSTOR_103_41822000167237,,,bronze with copper inlays,34.0780,-118.4741
"Head of a goddess, perhaps Aphrodite or Artemis",about 270 B.C.,, Sculpture,"Museum of Fine Arts, Boston",https://library.artstor.org/asset/AMICO_BOSTON_103841030 ,Height: 25.5 cm (10 1/16 in.),Catharine Page Perkins Fund,,42.3394,-71.0940
Statue of Eros sleeping,3rd-2nd century B.C.,, Sculpture,The Metropolitan Museum of Art,https://library.artstor.org/asset/AMICO_METRO_103826472 ,L. 33 9/16 in. (85.24 cm),,,40.779434,-73.963402
Venus,332-30 BC,,statuettes,The Walters Art Museum,https://library.artstor.org/asset/AWALTERSIG_10312546461 ,10 3/4 in. (27.3 cm),"Acquired by Henry Walters, 1912, 54.952, Dikran Kelekian, New York and Paris [date and mode of acquisition unknown]; Henry Walters, Baltimore, 1912, by purchase; Walters Art Museum, 1931, by bequest",,39.2964,-76.6165
A Mirror Handle In Silvered Bronze,323 BC-32 BC,,Mirrors,Cleveland Museum of Art,https://library.artstor.org/asset/AWSS35953_35953_43759526 ,,"Purchased by William Randolph Hearst from Joseph Brummer, New York City, March 17, 1926 for $2600; sold to Brummer Galleries, December 16, 1940. Sold to Cleveland Museum of Art in May 1947",,41.505331312,-81.606997572
Wrestlers,2nd-1st century BC,,statuary groups,The Walters Art Museum,https://library.artstor.org/asset/AWALTERSIG_10312545513,H: 6 x W: 2 15/16 x D: 3 3/16 in. (15.2 x 7.4 x 8.,"Acquired by Henry Walters, 1931, 54.742, Joseph Brummer, New York [date and mode of acquisition unknown]; Henry Walters, Baltimore, 1931, by purchase; Walters Art Museum, 1931, by bequest",,39.2964,-76.6165
"Hellenistic Bronze Statuette of a Roe Deer, Full View",2nd century B.C.,, Sculpture,The Detroit Institute of Arts,https://library.artstor.org/asset/AMICO_DETROIT_1039543898 ,9.21 cm x 9.53 cm,"Founders Society Purchase, Sarah Bacon Hill Fund",,42.3595105,-83.0645258624998
Portable altar of Jupiter Heliopolitanus,2nd cent. BCE.,,ceremonial object,Musée du Louvre,https://library.artstor.org/asset/LESSING_ART_10313454458,38.4 cm (height),,,48.860294,2.338629
Portable altar of Jupiter Heliopolitanus,2nd cent. BCE,,ceremonial object, Musée du Louvre,https://library.artstor.org/asset/LESSING_ART_10313454458,38.4 cm (height),,,48.860294,2.338629
Portrait Bust of Ptolemy II (?),283-246 B.C.,, Sculpture (head),Museo nazionale di Napoli,https://library.artstor.org/asset/ARTSTOR_103_41822003252440,,,,40.8536,14.2505
Head of Poseidon / Antigonos Doson,227-221 B.C.,, Sculpture,"The Museum of Fine Arts, Houston",https://library.artstor.org/asset/AMHOUSTONIG_10313878059,11 3/8 x 7 3/4 x 9 1/2 in.,Gift of Isabel B. and Wallace S. Wilson,,29.7256,-95.3905
Statuette of Poseidon (?) (fighting divinity).,150-140 B.C.,, Sculpture,Musée du Louvre,https://library.artstor.org/asset/ARTSTOR_103_41822000170489 ,h.25cm,,,48.860294,2.338629
Statue of Seated Boxer,100-50 B.C. ,"Apollonios, Son of Nestor, 160-30 B.C.", Sculpture,Museo nazionale romano,https://library.artstor.org/asset/ARTSTOR_103_41822003252671 ,H. 128 cm,,,41.9020,12.4732
Dancing Satyr,100 B.C.,, Sculpture,Pompeii,https://library.artstor.org/asset/ARTSTOR_103_41822000122729,,,,40.7462,14.4989
,,,,,,,,,,
Early Warring States Dec. Bronze Tripod Dui,499 BCE - 400 BCE,"Anonymous, Chinese",Decorative Arts,"Colby College Museum of Art, The Colville Collection of Early Chinese Art, The Lunder Collection",https://library.artstor.org/asset/ACOLBYIG_10313204581 ,5 1/8 in. x 6 7/16 in. x 6 7/16 in.,,,44.5650,-69.6607
Early Warring States Dec. Bronze Tripod Dui,499 BCE - 400 BCE,"Anonymous, Chinese",Decorative Arts,"Colby College Museum of Art, The Colville Collection of Early Chinese Art, The Lunder Collection",https://library.artstor.org/asset/ACOLBYIG_10313204584 ,6 in. x 8 1/2 in. x 6 1/2 in.,,,44.5650,-69.6607
He' Ritual Wine Vessel in the Form of a Standing Duck,probably 5th century BCE,,vessel,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29354740 ,H. 20.5 x W. 17 x L. 30.8 cm (8 1/16 x 6 11/16 x 12 1/8 in.),Anonymous gift,,42.374090,-71.114358
Covered Spherical Food Vessel (Dui) with Geometric Decor,late 5th century BCE,,vessel,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29352260 ,H. 27.5 x W. 28.3 x D. 20.5 cm (10 13/16 x 11 1/8 x 8 1/16 in.),Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Small 'Pou' Jar with Openwork Decoration of Interlaced Dragons and with Two Serpentine Handles,5th-4th century BCE,,vessel,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29354714 ,H. 9.7 x W. 12.4 x Diam 9.9 cm (3 13/16 x 4 7/8 x 3 7/8 in.),Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Small 'Pou' Jar with Openwork Decoration of Interlaced Dragons and with Two Serpentine Handles,5th-4th century BCE,,,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29354714 ,H. 9.7 x W. 12.4 x Diam 9.9 cm (3 13/16 x 4 7/8 x 3 7/8 in.),Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Ritual Bell (Bo zhong) with Stylized Dragon and Snake Decor and with Handle in the Form of Addorsed Birds,475 - 221 BCE,,Ceremonial Objects,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29352320 ,H. 51.2 x W. 36.8 x D. 31.1 cm (20 3/16 x 14 1/2 x 12 1/4 in.) Weight 66 lb.,Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Ritual Tripod Vessel (Ding),4th - 3rd century BCE,,Utilitarian Objects,Philadelphia Museum of Art,https://library.artstor.org/asset/AWSS35953_35953_41352320 ,7 1/2 × 8 11/16 inches (19 × 22 cm),"Gift of Charles H. Ludington from the George Crofts Collection, 1925",,39.9655697,-75.1809661
Bell (bo zhong),late 5th century B.C.,Chinese,Ceremonial Objects,Princeton University Art Museum,https://library.artstor.org/asset/APRINCETONIG_10313685151 ,h. to top of hanger: 25.8 cm. h. to head: 19.2 cm. rim: 17 x 12.6 cm. ,,,40.347476,-74.658108
Sword-bearer lamp,4th-2nd century B.C.,,Metal-Objects,Princeton University Art Museum,https://library.artstor.org/asset/APRINCETONIG_10313684958 ,"h. 33.8 cm., w. 13.5 cm., diam. dish 13.0 cm. (13 5/16 x 5 5/16 x 5 1/8 in.)h. to top of head approximately: 28.5 cm. (11 1/4 in.)",,,40.347476,-74.658108
Lid,late 4th century B.C.,Chinese,Bronzes,"Seattle Art Museum, Eugene Fuller Memorial Collection",https://library.artstor.org/asset/ASEATTLEIG_10312600501 ,Diam.: 4 3/8 in. Overall h.: 5/8 in.,,Bronze with silver inlay,47.63003,-122.31469
Vessel support: Tiger,5th century B.C.,Chinese,Bronzes,"Seattle Art Museum, Eugene Fuller Memorial Collection",https://library.artstor.org/asset/AWSS35953_35953_41316052 ,3 x 6 7/8 x 1 3/4 in. (7.6 x 17.5 x 4.4 cm),,,47.63003,-122.31469
Wine Vessel (Hu),early 400s BCE. ,,Utilitarian Objects,The Cleveland Museum of Art,https://library.artstor.org/asset/24585478 ,Diameter: 24.1 cm (9 1/2 in.); Diameter of mouth: 10.1 cm (4 in.); Overall: 27.6 cm (10 7/8 in.),"description: Acquired in China for Yamanaka & Company;  date: before 1929, description: (Yamanaka & Company, New York, NY, sold to the Cleveland Museum of Art);  date: by 1929, description: The Cleveland Museum of Art, Cleveland, OH;  date: 1929–, Purchase from the J. H. Wade Fund",bronze with gold inlay,41.505331312,-81.606997572
Shallow Basin Supported by a Bird (Bian),early 400s BC,"China, Shanxi province",Metalwork,The Cleveland Museum of Art,https://library.artstor.org/asset/24619872 ,Overall: 23.3 cm (9 3/16 in.); Diameter of base: 18.3 cm (7 3/16 in.),"description: (Robert H. Ellsworth, Ltd., New York, NY, sold to the Cleveland Museum of Art);  footnotes: None; date: ?-1991, description: The Cleveland Museum of Art, Cleveland, OH, 1991-present;  footnotes: None; date: 1991-, Leonard C. Hanna, Jr. Fund",bronze inlaid with powdered malachite and azurite in unidentified binder.,41.505331312,-81.606997572
Belt Hook (Daigou) in the Form of a Buffalo or Elephant Head,481–400 BC,,"Decorative Arts and Utilitarian Objects, Metalwork",The Cleveland Museum of Art,https://library.artstor.org/asset/24611423 ,Overall: 3.8 cm (1 1/2 in.),"description: Robert Griffing, sold to the Cleveland Museum of Art;  footnotes: None; date: ?–1965, description: The Cleveland Museum of Art, Cleveland, OH;  footnotes: None; date: 1965–, Cornelia Blakemore Warner Fund. ",bronze with silver inlay,41.505331312,-81.606997572
Mirror with Five Blossoms and Overlapping Lozenges / 五花折疊式菱紋鏡,300s BC,,"Decorative Arts and Utilitarian Objects, Metalwork",The Cleveland Museum of Art,https://library.artstor.org/asset/24620652 ,Diameter: 11.4 cm (4 1/2 in.); Overall: 0.4 cm (3/16 in.); Rim: 0.4 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI;  date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Quatrefoil and Feather Pattern / 四葉羽紋鏡,300s BC,,"Decorative Arts and Utilitarian Objects, Metalwork",The Cleveland Museum of Art,https://library.artstor.org/asset/24620641 ,Diameter: 11.2 cm (4 7/16 in.); Overall: 0.6 cm (1/4 in.); Rim: 0.4 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI; (Daibutsu, San Francisco, 1991);  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Four T's / 四山鏡,300s BC,,Metalwork,The Cleveland Museum of Art, https://library.artstor.org/asset/24620656 ,Diameter: 10.4 cm (4 1/8 in.); Rim: 0.5 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI;  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Jade Disk Inset,late Warring States (475-221 BC) to early Western Han (206 BC-8 AD),,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103803233 ,Diameter: 15.3cm,"Gift of various donors to the department of Chinese art (by exchange), 2002.5",,41.505331312,-81.606997572
Mirror with Serpentine Interlaces and Angular Meanders,early 5th-late 3rd century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/24620643 ,Diameter: 11.7 cm (4 5/8 in.); Overall: 0.6 cm (1/4 in.); Rim: 0.5 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI;  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with an Inscription and Bosses,5th-3rd Century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804149 ,Diameter: 8.4cm,"Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee, Thomas and Martha Carter, Madison, WI; (purchased in Hong Kong, 1991)","Inscribed with the rhyming couplet Jian ri zhi guang, chang le mo yang” Translated by Karlgren: ""When you see the light of the sun, may you have constant joy without end.""",41.505331312,-81.606997572
Mirror with Shan and Feather Pattern,5th-3rd Century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804231,Diameter: 10.5cm,,Mirror with Four T's,41.505331312,-81.606997572
Mirror with Three Dragons Pattern,5th-3rd Century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804229 ,Diameter: 17cm,"description: Thomas and Martha Carter, Madison, WI;  date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Double-tier Mirror / 透雕紋鏡,300s BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland", https://library.artstor.org/asset/24621428 ,Diameter: 7.6 cm (3 in.); Overall: 0.8 cm (5/16 in.); Rim: 0.5 cm (3/16 in.),"description: Drs. Thomas and Martha Carter, Madison, WI, given to the Cleveland Museum of Art;  date: ?-1999, description: The Cleveland Museum of Art, Cleveland, OH, -present;  date: 1999-, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Quatrefoil and Continuous Arc Pattern,300-100 BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804228 ,Diameter: 14cm,"Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee, Thomas and Martha Carter, Madison, WI; (Kooh Ku Kok, Hong Kong, 1993)",,41.505331312,-81.606997572
Mirror with Three Dragons on a Patterned Ground,300-100 BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804230 ,Diameter: 15.9cm,"Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee, Thomas and Martha Carter, Madison, WI; (Ming Gallery, Hong Kong, 1994)",,41.505331312,-81.606997572
Mirror with 'Shan' (Mountain) Pattern,200s BC,"probably State of Chu, possibly Hunan province","Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/24613190 ,Diameter: 18 cm (7 1/16 in.),"description: (William H. Wolff [c. 1906-1991], New York, NY, sold to the Cleveland Museum of Art);  footnotes: None; date: ?-1972, description: The Cleveland Museum of Art, Cleveland, OH, 1972-present;  footnotes: None; date: 1972-, Edward L. Whittemore Fund",,41.505331312,-81.606997572
Mirror with Serpentine Interlaces and Angular Meanders / 蟠螭菱紋鏡.,200s BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/24620646 ,Diameter: 17 cm (6 11/16 in.); Overall: 0.9 cm (3/8 in.); Rim: 0.7 cm (1/4 in.),"description: Thomas and Martha Carter, Madison, WI;  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Belt Hook,Warring States Period (475 B.C.E.-221 B.C.E.),,metalwork,"UBC Museum of Anthropology, The Victor Shaw Collection of Chinese Arts",https://library.artstor.org/asset/AWSS35953_35953_32910232,18.2 x 2.3 x 2.7 cm,,,49.269366,-123.259596
