Title ,Period ,Creator ,Work Type,Repository,Url,Measurements,Provenance,Miscellenous,Latitude ,Longitude
Mirror with satyr or Pan head,late 4th century B.C.,,"Decorative Arts and Utilitarian Objects, Metalwork",The Metropolitan Museum of Art,https://library.artstor.org/asset/MMA_IAP_10310749262 ,diameter 6 3/4 in. (17.1 cm) H. of handle 2 1/8 in. (5.4 cm) H. of Head 5 7/16in. (13.8cm),,,40.779434,-73.963402
Oinochoe from Philip's Tomb: female head (Medusa?),late 4th C. B.C.,,Vessel,Vergina (Greece),https://library.artstor.org/asset/ARTSTOR_103_41822001374956 ,,,,40.4876578,22.3158996
Nanny Goat,late 2nd Century BC.,,Sculpture,The Cleveland Museum of Art,https://library.artstor.org/asset/AMICO_CL_103804011 ,Overall: 30.5cm x 31.1cm,"Leonard C. Hanna, Jr. Fund",,41.505331312,-81.606997572
Shallow Basin Supported by a Bird (Bian),early 400s BC,"China, Shanxi province",Metalwork,The Cleveland Museum of Art,https://library.artstor.org/asset/24619872 ,Overall: 23.3 cm (9 3/16 in.); Diameter of base: 18.3 cm (7 3/16 in.),"Robert H. Ellsworth, Ltd., New York, NY, sold to the Cleveland Museum of Art, date: ?-1991; the Cleveland Museum of Art, Cleveland, OH, 1991-present; Leonard C. Hanna, Jr. Fund",bronze inlaid with powdered malachite and azurite in unidentified binder.,41.505331312,-81.606997572
Small 'Pou' Jar with Openwork Decoration of Interlaced Dragons and with Two Serpentine Handles,5th-4th century BCE,,Vessel,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29354714 ,H. 9.7 x W. 12.4 x Diam 9.9 cm (3 13/16 x 4 7/8 x 3 7/8 in.),Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Sword-bearer lamp,4th-2nd century B.C.,,"Decorative Arts and Utilitarian Objects, Metalwork",Princeton University Art Museum,https://library.artstor.org/asset/APRINCETONIG_10313684958 ,"h. 33.8 cm., w. 13.5 cm., diam. dish 13.0 cm. (13 5/16 x 5 5/16 x 5 1/8 in.)h. to top of head approximately: 28.5 cm. (11 1/4 in.)",,,40.347476,-74.658108
Ritual Bell (Bo zhong) with Stylized Dragon and Snake Decor and with Handle in the Form of Addorsed Birds,475 - 221 BCE,,Ceremonial Objects,"Harvard Art Museums, Department of Asian Art, Arthur M. Sackler Museum",https://library.artstor.org/asset/AWSS35953_35953_29352320 ,H. 51.2 x W. 36.8 x D. 31.1 cm (20 3/16 x 14 1/2 x 12 1/4 in.) Weight 66 lb.,Bequest of Grenville L. Winthrop,,42.374090,-71.114358
Statue of Eros sleeping,3rd-2nd century B.C.,,Sculpture,The Metropolitan Museum of Art,https://library.artstor.org/asset/AMICO_METRO_103826472 ,L. 33 9/16 in. (85.24 cm),,,40.779434,-73.963402
A Mirror Handle In Silvered Bronze,323 BC-32 BC,,"Decorative Arts and Utilitarian Objects, Metalwork",Cleveland Museum of Art,https://library.artstor.org/asset/AWSS35953_35953_43759526 ,"Height: 8 1/2 inches, width: 6 feet 1/8 inches","Purchased by William Randolph Hearst from Joseph Brummer, New York City, March 17, 1926 for $2600; sold to Brummer Galleries, December 16, 1940. Sold to Cleveland Museum of Art in May 1947",,41.505331312,-81.606997572
Mirror with Four T's / 四山鏡,300s BC,,Metalwork,The Cleveland Museum of Art, https://library.artstor.org/asset/24620656 ,Diameter: 10.4 cm (4 1/8 in.); Rim: 0.5 cm (3/16 in.),Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee,,41.505331312,-81.606997572
Mirror with Five Blossoms and Overlapping Lozenges / 五花折疊式菱紋鏡,300s BC,,"Decorative Arts and Utilitarian Objects, Metalwork",The Cleveland Museum of Art,https://library.artstor.org/asset/24620652  ,Diameter: 11.4 cm (4 1/2 in.); Overall: 0.4 cm (3/16 in.); Rim: 0.4 cm (3/16 in.),Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee,,41.505331312,-81.606997572
Portable altar of Jupiter Heliopolitanus,2nd cent. BCE,,Ceremonial Object, Musée du Louvre,https://library.artstor.org/asset/LESSING_ART_10313454458 ,38.4 cm (height),,,48.860294,2.338629
Mirror with Serpentine Interlaces and Angular Meanders / 蟠螭菱紋鏡.,200s BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/24620646 ,Diameter: 17 cm (6 11/16 in.); Overall: 0.9 cm (3/8 in.); Rim: 0.7 cm (1/4 in.),Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee,,41.505331312,-81.606997572
Statue of Seated Boxer,100-50 B.C. ,"Apollonios, Son of Nestor, 160-30 B.C.",Sculpture,Museo nazionale romano,https://library.artstor.org/asset/ARTSTOR_103_41822003252671 ,H. 128 cm,,,41.9020,12.4732
